iter	Passed	Remaining
0	1	121
1	2	100
2	2	93
3	3	83
4	4	80
5	5	78
6	5	76
7	6	76
8	7	74
9	8	73
10	8	70
11	9	69
12	10	68
13	11	67
14	11	67
15	12	66
16	13	65
17	14	64
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	17	56
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
