iter	Passed	Remaining
0	130	130691
1	132	66062
2	133	44320
3	134	33536
4	135	27002
5	137	22711
6	138	19597
7	139	17245
8	139	15412
9	140	13945
10	141	12740
11	142	11729
12	143	10883
13	144	10163
14	145	9531
15	146	8981
16	146	8499
17	148	8074
18	148	7682
19	149	7341
20	150	7025
21	151	6736
22	152	6465
23	152	6221
24	153	5996
25	154	5791
26	155	5599
27	156	5418
28	157	5260
29	158	5134
30	159	4994
31	160	4858
32	161	4729
33	162	4609
34	162	4491
35	163	4381
36	164	4278
37	165	4178
38	165	4082
39	166	3992
40	167	3906
41	167	3826
42	168	3748
43	169	3674
44	169	3602
45	170	3534
46	171	3469
47	171	3408
48	172	3350
49	173	3297
50	174	3243
51	175	3193
52	175	3144
53	176	3095
54	177	3048
55	178	3001
56	178	2957
57	179	2914
58	180	2872
59	180	2831
60	181	2793
61	182	2755
62	182	2718
63	183	2683
64	184	2649
65	184	2616
66	185	2585
67	186	2553
68	187	2524
69	187	2494
70	188	2467
71	189	2440
72	190	2413
73	190	2387
74	191	2363
75	192	2337
76	192	2312
77	193	2288
78	194	2264
79	194	2241
80	195	2219
81	196	2197
82	196	2171
83	197	2150
84	197	2129
85	198	2109
86	199	2089
87	199	2070
88	200	2052
89	201	2034
90	201	2016
91	202	2000
92	203	1984
93	204	1968
94	204	1951
95	205	1934
96	206	1918
97	206	1902
98	207	1886
99	207	1871
100	208	1856
101	209	1841
102	209	1827
103	210	1813
104	211	1800
105	212	1788
106	212	1775
107	213	1762
108	214	1749
109	214	1737
110	215	1724
111	216	1713
112	216	1701
113	217	1689
114	218	1678
115	218	1668
116	219	1656
117	220	1646
118	220	1635
119	221	1624
120	222	1613
121	222	1602
122	223	1592
123	223	1582
124	224	1571
125	225	1562
126	225	1552
127	226	1542
128	227	1533
129	227	1524
130	228	1515
131	229	1506
132	229	1497
133	230	1489
134	231	1481
135	231	1472
136	232	1464
137	233	1456
138	233	1448
139	234	1440
140	235	1432
141	235	1424
142	236	1416
143	237	1409
144	237	1403
145	238	1396
146	239	1390
147	240	1382
148	240	1375
149	241	1368
150	242	1361
151	242	1355
152	243	1349
153	244	1342
154	245	1336
155	245	1330
156	246	1323
157	247	1317
158	247	1310
159	248	1305
160	249	1298
161	249	1292
162	250	1286
163	251	1280
164	251	1274
165	252	1268
166	253	1262
167	253	1257
168	254	1251
169	255	1245
170	255	1240
171	256	1235
172	257	1229
173	257	1224
174	258	1218
175	259	1213
176	259	1207
177	260	1203
178	261	1198
179	261	1193
180	262	1188
181	263	1183
182	264	1179
183	264	1174
184	265	1169
185	266	1164
186	267	1161
187	267	1157
188	268	1152
189	269	1147
190	269	1142
191	270	1138
192	271	1134
193	271	1129
194	272	1124
195	273	1120
196	273	1116
197	274	1112
198	275	1108
199	275	1103
200	276	1099
201	277	1095
202	278	1091
203	278	1087
204	279	1084
205	280	1080
206	280	1076
207	281	1072
208	282	1068
209	283	1064
210	283	1061
211	284	1057
212	285	1053
213	285	1049
214	286	1045
215	287	1041
216	287	1038
217	288	1034
218	288	1029
219	289	1026
220	290	1022
221	290	1018
222	291	1015
223	292	1011
224	292	1008
225	293	1004
226	294	1001
227	294	998
228	295	994
229	296	991
230	296	988
231	297	984
232	298	981
233	298	977
234	299	974
235	299	971
236	300	967
237	301	964
238	301	961
239	302	957
240	303	954
241	303	951
242	304	948
243	304	944
244	305	941
245	306	938
246	306	935
247	307	932
248	308	929
249	309	927
250	309	924
251	310	921
252	311	919
253	311	916
254	312	913
255	313	910
256	314	907
257	314	905
258	315	902
259	316	899
260	316	896
261	317	894
262	318	891
263	318	888
264	319	886
265	320	883
266	320	881
267	321	878
268	322	875
269	322	873
270	323	870
271	324	868
272	325	866
273	325	863
274	326	861
275	327	858
276	328	856
277	328	853
278	329	851
279	330	848
280	330	846
281	331	844
282	332	841
283	332	839
284	333	836
285	334	834
286	334	831
287	335	829
288	336	826
289	336	824
290	337	822
291	338	819
292	338	817
293	339	815
294	340	813
295	341	811
296	341	809
297	342	807
298	343	805
299	344	802
300	344	800
301	345	798
302	346	796
303	346	794
304	347	792
305	348	789
306	348	787
307	349	785
308	350	783
309	350	781
310	351	778
311	352	776
312	352	774
313	353	773
314	354	770
315	355	769
316	356	767
317	356	765
318	357	763
319	358	761
320	358	759
321	359	757
322	360	754
323	360	752
324	361	750
325	362	748
326	362	746
327	363	744
328	364	742
329	364	740
330	365	738
331	365	736
332	366	734
333	367	732
334	367	730
335	368	728
336	369	726
337	370	724
338	370	723
339	372	722
340	372	720
341	373	718
342	374	716
343	374	715
344	375	713
345	376	711
346	377	709
347	377	707
348	378	706
349	379	704
350	379	702
351	380	700
352	381	698
353	381	696
354	382	695
355	383	693
356	384	691
357	384	690
358	385	688
359	386	687
360	388	687
361	388	685
362	389	683
363	390	682
364	391	680
365	391	678
366	392	676
367	392	674
368	393	673
369	394	671
370	394	669
371	395	668
372	396	666
373	397	664
374	397	662
375	398	661
376	399	659
377	399	657
378	400	656
379	401	654
380	401	652
381	402	651
382	403	649
383	403	647
384	404	646
385	405	644
386	405	642
387	406	640
388	406	639
389	407	637
390	408	635
391	408	633
392	409	632
393	409	630
394	410	628
395	411	627
396	411	625
397	412	624
398	413	622
399	413	620
400	414	619
401	415	617
402	416	616
403	416	614
404	417	613
405	417	611
406	418	609
407	419	608
408	419	606
409	420	605
410	421	603
411	421	602
412	422	600
413	423	599
414	423	597
415	424	595
416	425	594
417	425	592
418	426	591
419	427	589
420	428	588
421	428	587
422	429	585
423	430	584
424	431	583
425	431	581
426	432	580
427	433	579
428	434	578
429	435	576
430	435	575
431	436	574
432	437	572
433	437	571
434	438	569
435	439	568
436	439	566
437	440	565
438	441	563
439	442	562
440	442	561
441	443	560
442	444	558
443	445	557
444	446	556
445	446	555
446	447	553
447	448	552
448	448	550
449	449	549
450	450	547
451	450	546
452	451	545
453	452	543
454	452	542
455	453	540
456	454	539
457	454	538
458	455	536
459	455	535
460	456	533
461	457	532
462	457	531
463	458	529
464	459	528
465	459	527
466	460	525
467	461	524
468	462	523
469	462	521
470	463	520
471	464	519
472	465	518
473	465	516
474	466	515
475	467	514
476	467	513
477	468	512
478	469	510
479	470	509
480	471	508
481	471	507
482	472	505
483	473	504
484	474	503
485	474	502
486	475	500
487	476	499
488	476	498
489	477	497
490	478	495
491	479	494
492	479	493
493	480	492
494	481	490
495	481	489
496	482	488
497	483	487
498	483	485
499	484	484
500	485	483
501	486	482
502	486	480
503	487	479
504	487	478
505	488	476
506	489	475
507	489	474
508	490	473
509	491	471
510	491	470
511	492	469
512	493	468
513	493	466
514	494	465
515	495	464
516	495	463
517	496	462
518	497	460
519	497	459
520	498	458
521	499	457
522	500	456
523	500	454
524	501	453
525	502	452
526	502	451
527	503	450
528	504	448
529	504	447
530	505	446
531	506	445
532	506	444
533	507	442
534	508	441
535	508	440
536	509	439
537	509	437
538	510	436
539	511	435
540	511	434
541	512	433
542	513	432
543	514	430
544	514	429
545	515	428
546	516	427
547	517	426
548	517	425
549	518	424
550	519	423
551	519	421
552	520	420
553	521	419
554	521	418
555	522	417
556	523	416
557	524	415
558	525	414
559	525	413
560	526	412
561	527	411
562	528	409
563	528	408
564	529	407
565	530	406
566	530	405
567	531	404
568	532	403
569	532	401
570	533	400
571	534	399
572	534	398
573	535	397
574	536	396
575	536	395
576	537	394
577	538	392
578	538	391
579	539	390
580	540	389
581	541	388
582	541	387
583	542	386
584	543	385
585	544	384
586	544	383
587	545	382
588	546	381
589	547	380
590	548	379
591	548	378
592	549	377
593	550	376
